libelementary-bin,1.26.3-2deepin0,deepin-v23,,
libfm-tools,1.3.2-1,deepin-v23,,
libglib2.0-tests,2.80.1-1deepin1,deepin-v23,,
libkf5guiaddons-bin,5.103.0-1,deepin-v23,,
libkf5newstuff-data,5.103.0-1,deepin-v23,,
libkf5wallet-bin,5.103.0-1deepin0,deepin-v23,,
libportal-tests,0.4-2,deepin-v23,,
libreoffice-base,24.2.0-1deepin2,deepin-v23,,
libreoffice-calc,24.2.0-1deepin2,deepin-v23,,
libreoffice-common,24.2.0-1deepin2,deepin-v23,,
libreoffice-draw,24.2.0-1deepin2,deepin-v23,,
libreoffice-impress,24.2.0-1deepin2,deepin-v23,,
libreoffice-math,24.2.0-1deepin2,deepin-v23,,
libreoffice-writer,24.2.0-1deepin2,deepin-v23,,
libts-bin,1.22-1+rb3,deepin-v23,,
libxfce4ui-utils,4.18.6-1,deepin-v23,,
lightsoff,40.0.1-1,deepin-v23,,
linglong-installer,1.6.3-1,deepin-v23,,
links2,2.25.1-1+dde,deepin-v23,,
lokalize,21.08.0-1deepin0,deepin-v23,,
love,11.4-1,deepin-v23,,
lshw-gtk,02.19.git.2021.06.19.996aaad9c7-2deepin0,deepin-v23,,
lskat,21.08.0-1,deepin-v23,,
luckybackup,0.5.0-5,deepin-v23,,
lxappearance,0.6.3-deepin1,deepin-v23,,
lxhotkey-gtk,0.1.1-1,deepin-v23,,
lximage-qt,0.16.0-1deepin0,deepin-v23,,
lxinput,0.3.5-deepin1,deepin-v23,,
lxpanel,0.10.1-2,deepin-v23,,
lxqt-about,0.16.0-1,deepin-v23,,
lxqt-admin,0.16.0-1,deepin-v23,,
lxqt-config,0.16.1-1deepin0,deepin-v23,,
lxqt-globalkeys,0.16.0-1,deepin-v23,,
lxqt-notificationd,0.16.0-1,deepin-v23,,
lxqt-powermanagement,0.16.0-1,deepin-v23,,
lxqt-session,0.16.0-1,deepin-v23,,
lxrandr,0.3.2-deepin1,deepin-v23,,
lxsession-default-apps,0.5.5-deepin1,deepin-v23,,
lxsession-edit,0.5.5-deepin1,deepin-v23,,
lxterminal,0.4.0-1,deepin-v23,,
lyx,2.3.6.1-deepin1+rb4,deepin-v23,,
malcontent-gui,0.11.1-3deepin1,deepin-v23,,
marble,21.08.3-1deepin0,deepin-v23,,
marble-data,21.08.3-1deepin0,deepin-v23,,
marble-maps,21.08.3-1deepin0,deepin-v23,,
marble-qt,21.08.3-1deepin0,deepin-v23,,
marco,1.24.1-3,deepin-v23,,
mate-control-center,1.24.1-deepin1,deepin-v23,,
mate-desktop,1.24.1-2,deepin-v23,,
mate-notification-daemon,1.24.1-deepin1,deepin-v23,,
mate-session-manager,1.24.1-2,deepin-v23,,
mate-terminal,1.24.1-deepin1,deepin-v23,,
mc,4.8.31-1,deepin-v23,,
mediainfo-gui,22.06-1deepin0,deepin-v23,,
meld,3.22.2-1,deepin-v23,,
metacity,3.42.0-1,deepin-v23,,
minetest,5.6.1+dfsg+~1.9.0mt8+dfsg-2,deepin-v23,,
minicom,2.8-2,deepin-v23,,
minuet,21.08.0-1,deepin-v23,,
mono-tools-gui,4.2-3.1,deepin-v23,,
monodoc-http,4.2-3.1,deepin-v23,,
